match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,context_event_count,context_carry,context_duel,context_shot,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,substituted
15946,6855,11,0,11,0,0,1,0,16,13,0,3,1,0,0,0,7,0,0,0,0,0,5,1,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43.28793317326296,False
15946,6935,7,1,5,0,0,0,1,7,4,1,0,0,2,0,1,0,0,0,0,0,0,16,3,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,42.98279266980522,False
15946,8206,7,0,6,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,22,6,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,8.105674315766596,False
15946,11392,17,0,15,0,0,0,0,18,2,0,0,0,1,0,0,0,0,0,0,0,0,53,15,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,61.65416476912759,False
15946,20055,14,3,17,0,1,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0,33,9,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.29299999839567,False
15956,3109,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12.865457628860321,False
15956,3501,58,3,54,1,3,2,1,59,7,1,1,1,2,0,0,0,0,0,0,0,0,13,3,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,339.4878566029215,True
15956,5203,39,4,36,0,0,4,4,58,15,0,6,0,1,0,0,2,0,0,0,0,0,15,2,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,181.22103739727083,False
15956,5211,54,5,52,1,2,2,2,68,8,0,0,1,1,0,1,1,0,0,0,0,0,19,3,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,247.3852706241068,False
15956,5213,55,5,56,0,0,1,1,77,5,1,0,0,1,3,0,8,0,0,1,0,0,25,5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,251.25581035063612,False
15956,5246,33,2,19,4,1,0,0,19,5,2,1,0,2,0,2,0,0,0,0,1,0,18,3,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103.48677488983681,True
15956,5470,71,1,56,0,0,2,0,75,10,0,3,1,2,1,0,0,0,0,0,0,0,10,2,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,274.5074320187101,False
15956,5477,42,9,44,3,2,0,2,41,8,5,2,0,2,0,2,0,0,0,0,0,0,18,4,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,181.29382284717582,True
15956,5492,36,2,31,0,1,2,1,41,3,0,0,0,0,2,0,1,0,0,0,0,0,23,5,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,187.1575471028136,False
15956,5503,69,2,55,5,4,1,1,57,10,1,0,0,0,0,3,0,0,0,0,0,0,26,6,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,340.8551062951486,False
15956,6379,79,1,73,1,3,2,1,90,9,0,4,1,0,0,2,2,0,0,0,0,0,22,4,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,516.8203968020229,False
15956,6616,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.657944328765339,False
15956,6742,16,0,9,0,0,3,1,7,7,1,4,1,2,0,2,0,0,0,0,0,0,29,5,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,35.137519782942384,False
15956,6760,46,2,19,0,0,6,1,21,8,2,1,1,4,0,4,0,0,0,0,0,0,22,3,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,186.7382481707868,True
15956,7699,4,1,3,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,13,3,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.216462267931393,False
15956,8206,11,2,9,0,0,0,0,11,5,0,0,0,1,0,2,0,0,0,0,0,0,30,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,18.27453671601961,False
15956,8419,16,0,10,0,2,1,0,7,3,0,0,0,0,0,1,0,0,0,0,0,0,28,8,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,31.707766347755857,False
15956,11291,35,8,30,1,2,2,2,24,14,0,2,0,0,1,3,0,0,0,0,0,0,28,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,257.3386325418661,True
15956,11293,23,6,26,0,0,1,0,41,6,0,2,0,0,2,0,5,0,0,0,0,0,28,7,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,151.81147080539822,False
15956,11294,13,2,14,0,0,1,0,18,9,0,0,2,2,0,2,2,0,0,0,0,0,21,6,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.30164914137204,True
15956,11296,41,8,28,0,0,1,1,35,8,1,1,0,0,0,2,0,0,0,0,0,0,39,11,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,265.88814861652435,False
15956,11297,16,3,13,0,1,2,0,22,5,0,3,1,1,2,0,4,0,0,1,0,0,15,4,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30.322154190335535,False
15956,11298,48,6,41,0,1,7,0,55,12,0,1,1,1,0,2,1,0,0,0,0,0,51,14,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,258.39529473168045,False
15956,11300,43,6,43,2,2,5,3,46,25,2,5,2,2,0,1,0,0,0,0,0,0,33,9,1,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,199.81522672830033,False
15956,11302,14,5,10,0,0,0,0,36,0,0,0,0,0,0,0,0,0,13,0,0,0,15,3,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,17.73916569812702,False
15956,11303,22,7,25,0,1,3,2,28,11,0,2,0,3,0,1,0,0,0,1,0,0,28,8,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,258.1091358814973,False
15956,11304,19,5,19,0,0,4,1,26,3,1,3,1,1,3,1,3,0,0,0,0,0,27,5,3,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,127.0198590960311,False
15956,20055,8,7,13,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,1,0,13,2,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,58.44056009664532,False
15973,3501,91,4,82,0,5,1,2,90,7,5,1,0,1,1,2,0,0,0,0,0,0,46,11,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,502.2615537027758,False
15973,5203,41,3,31,0,0,5,1,55,11,0,1,1,0,1,1,0,0,0,0,0,0,25,7,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,80.07883867223443,True
15973,5211,60,4,51,0,0,1,1,67,9,1,2,1,1,1,1,0,0,0,0,0,0,39,9,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,172.07506229132517,False
15973,5213,53,5,49,0,1,1,0,61,1,3,1,0,0,1,0,2,0,0,0,0,0,34,7,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,327.6921268837827,False
15973,5246,41,2,22,0,2,1,3,29,8,4,1,0,0,1,0,2,0,0,0,0,0,25,2,0,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,136.96107787747144,False
15973,5470,69,0,63,0,0,5,1,73,7,3,0,0,0,0,0,0,0,0,0,0,0,42,11,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,257.280775944879,True
15973,5477,60,4,52,4,4,3,4,53,8,3,0,0,1,0,1,0,0,0,0,0,0,32,10,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,324.3800195412224,False
15973,5492,35,3,33,0,0,0,0,39,5,0,2,0,0,2,0,4,0,0,0,0,0,41,11,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,191.67536477631643,True
15973,5503,95,4,74,1,2,1,3,86,8,7,2,0,2,0,3,0,0,0,0,0,0,33,6,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,389.27785504843683,False
15973,6379,61,1,51,1,1,2,0,68,4,2,2,0,0,0,0,1,0,0,0,0,0,23,7,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,200.18847018642185,False
15973,6734,32,3,32,3,0,1,1,34,4,1,1,1,1,1,0,5,0,0,0,0,0,28,9,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,149.72533148451586,False
15973,6788,14,0,12,0,0,1,0,15,6,0,1,1,1,0,0,8,0,0,0,0,0,11,2,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50.158984441874956,False
15973,6826,14,2,15,0,0,2,0,17,3,0,0,0,1,0,0,2,0,0,0,0,0,17,4,2,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105.18962380960177,False
15973,6857,3,2,5,0,0,2,0,5,5,0,2,0,0,1,0,0,0,0,0,0,0,18,4,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,53.71377890365574,False
15973,8206,27,2,18,0,0,1,0,25,6,2,0,0,1,0,0,0,0,0,0,0,0,62,15,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,61.971494352112444,False
15973,9747,5,2,6,0,0,0,0,28,1,0,0,0,1,0,0,0,0,30,0,0,0,15,1,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,53.50714633447184,False
15973,11392,13,1,14,0,0,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,46,14,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76.28125264809759,False
15973,11669,41,5,36,1,1,3,0,43,21,1,5,2,3,0,1,1,0,0,0,0,0,26,4,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,103.58984659681894,False
15973,11671,23,1,14,1,0,2,0,17,10,2,1,0,0,0,2,0,0,0,0,0,0,13,2,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,88.62798721168083,True
15973,11672,15,0,11,3,1,4,0,13,17,1,0,0,0,2,0,0,0,0,0,0,0,16,2,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,83.11389202225544,True
15973,11673,24,1,19,0,2,1,1,19,6,1,1,0,1,2,1,0,0,0,0,0,0,18,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,118.22182603195967,True
15973,11674,27,3,26,1,1,3,0,37,12,0,1,0,5,0,1,1,0,0,0,0,0,22,5,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,56.300998524767735,False
15973,11675,42,3,36,0,1,0,0,44,18,0,1,2,1,3,0,0,0,0,0,0,0,23,5,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,227.86224963785907,False
15973,11676,26,4,26,2,0,4,2,37,8,0,5,0,1,1,1,2,0,0,0,0,0,20,5,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,173.88621949822107,False
15973,11677,18,3,19,1,0,4,1,26,9,0,0,2,0,1,1,4,0,0,0,0,0,16,4,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,73.97928646968649,False
15973,11678,8,2,5,0,0,0,1,9,6,1,0,0,0,1,0,0,0,0,0,0,0,26,4,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,48.89768073925455,False
15973,12554,10,1,9,1,0,2,0,9,7,0,0,0,1,1,0,0,0,0,0,0,0,20,5,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,122.68404934522495,False
15973,20055,13,3,14,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,0,0,0,12,3,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,33.41523082778296,False
15978,3042,7,1,8,1,0,2,0,6,5,1,1,0,0,0,0,0,0,0,0,0,0,32,8,2,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34.12952314918945,False
15978,3501,52,5,45,1,1,1,2,48,6,1,1,0,0,2,0,0,0,0,0,0,0,33,8,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,192.45580610058988,False
15978,5203,33,3,34,0,1,1,3,39,8,0,0,1,0,1,0,1,0,0,0,0,0,32,7,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,107.6882517880445,False
15978,5211,49,6,47,0,1,2,1,65,8,0,3,1,0,2,0,1,0,0,0,0,0,14,2,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,167.14471493206491,False
15978,5213,78,6,70,0,0,6,0,91,7,3,0,1,0,0,0,1,0,0,0,0,0,43,12,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,140.83933900845517,False
15978,5246,32,3,23,0,1,1,2,18,14,3,1,0,1,1,6,0,0,0,0,0,0,25,6,0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.77969634963036,False
15978,5470,103,6,97,1,0,1,1,119,13,1,2,0,0,1,0,0,0,0,0,0,0,39,11,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,237.58399428857066,False
15978,5477,47,6,44,1,6,3,2,44,9,2,2,0,1,1,3,0,0,0,0,0,0,30,7,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,277.1412308008461,True
15978,5492,81,8,76,0,2,3,1,91,7,0,0,1,2,2,0,0,0,0,0,0,0,35,6,2,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,385.408415580009,False
15978,5503,78,3,76,1,13,2,1,68,10,2,0,0,2,0,1,0,0,0,0,0,0,35,9,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,261.24640733928425,False
15978,5573,27,2,27,0,0,0,0,36,5,0,1,2,1,1,0,2,0,0,0,0,0,19,4,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,115.50170661952868,False
15978,6374,46,1,47,0,1,2,0,51,3,0,1,0,0,0,0,0,0,0,0,0,0,42,13,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,326.60635401187335,True
15978,6379,59,7,56,2,0,2,3,62,11,0,2,0,2,0,1,0,0,0,0,0,0,19,5,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,176.21380668149112,False
15978,6605,21,1,21,0,0,1,1,38,14,0,0,1,3,2,2,3,0,0,0,0,0,26,6,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,91.1487478040888,False
15978,6669,26,3,30,1,0,5,1,29,16,0,3,2,3,3,2,0,0,0,0,0,0,31,7,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,148.1907226132038,True
15978,6671,20,1,21,1,0,5,0,25,26,0,2,5,6,3,1,1,0,0,0,0,0,33,6,2,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,53.33545433218494,True
15978,6676,31,6,31,1,0,2,0,42,14,0,6,0,1,2,0,1,0,0,0,0,0,21,4,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,113.5453101797448,False
15978,6679,23,5,27,1,0,4,1,28,5,1,1,0,1,1,0,9,0,0,0,0,0,12,2,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,193.65865474508578,False
15978,6685,33,1,26,3,2,5,1,22,10,2,0,1,2,3,3,2,0,0,1,0,0,26,6,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,142.80152780336618,False
15978,6694,20,4,24,0,0,0,0,39,1,0,1,0,0,0,0,0,0,14,0,0,0,16,4,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90.85378045219589,False
15978,6695,35,0,20,2,1,3,1,19,11,3,0,0,0,3,0,0,0,0,0,0,0,14,3,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,84.66021164718566,False
15978,6704,29,4,32,0,1,2,2,39,11,1,2,0,0,1,2,3,0,0,0,0,0,21,4,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,165.0789961920854,False
15978,6899,35,4,32,2,2,7,0,35,20,0,3,1,2,2,0,0,0,0,0,0,0,29,4,2,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,280.45850835899085,True
15978,6906,4,1,3,1,0,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,13,2,2,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,17.796250310233958,False
15978,6998,42,10,38,2,0,1,3,47,10,0,0,1,0,0,1,0,0,0,0,0,0,47,11,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,158.7039770027394,True
15978,8206,7,1,7,0,0,2,0,8,6,0,1,0,0,0,0,1,0,0,0,0,0,33,7,2,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.94439543774554,False
