match_id,player_id,Ball Receipt*,Ball Recovery,Carry,Dispossessed,Dribble,Duel,Foul Won,Pass,Pressure,Shot,Block,Dribbled Past,Foul Committed,Interception,Miscontrol,Clearance,Error,Goal Keeper,Shield,Injury Stoppage,Offside,minutes_played,duels_lost,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,position_name_Secondary Striker,position_name_nan,total_running_distance,stamina_start,stamina_end,substituted
15946,6629,4,5,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,27,0,0,0,45.674416666666666,0,9,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,43.1,6.699999999999999,13.883333333333333,False
15946,6632,13,5,15,1,0,5,1,21,27,0,3,2,3,2,0,5,0,0,0,0,0,44.6625,0,6,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,30.099999999999994,58.620000000000005,59.84,False
15946,6839,11,1,9,0,0,3,0,16,8,0,2,2,1,2,0,0,0,0,0,0,0,36.77263333333334,0,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,35.20000000000001,47.94444444444444,49.388888888888886,True
15946,6855,11,0,11,0,0,1,0,16,13,0,3,1,0,0,0,7,0,0,0,0,0,46.643233333333335,0,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,37.100000000000016,29.027272727272724,30.254545454545454,False
15946,6935,7,1,5,0,0,0,1,7,4,1,0,0,2,0,1,0,0,0,0,0,0,19.779166666666665,0,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,30.500000000000004,59.94,65.12,False
15946,8206,7,0,6,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8306000000000004,0,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3.1999999999999886,63.43333333333334,63.86666666666667,False
15946,11392,17,0,15,0,0,0,0,18,2,0,0,0,1,0,0,0,0,0,0,0,0,14.501466666666666,0,18,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,25.399999999999995,57.49333333333333,58.25333333333333,False
15946,20055,14,3,17,0,1,0,0,27,0,0,0,0,0,0,0,0,0,7,0,0,0,40.956183333333335,0,15,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,57.0,8.105882352941178,11.435294117647059,False
15956,3109,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.16065,0,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12.600000000000009,95.8,108.4,False
15956,3501,58,3,54,1,3,2,1,59,7,1,1,1,2,0,0,0,0,0,0,0,0,44.49985,0,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,218.29999999999993,73.45185185185186,76.67962962962963,True
15956,5203,39,4,36,0,0,4,4,58,15,0,6,0,1,0,0,2,0,0,0,0,0,46.20321666666667,0,17,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,126.79999999999998,59.78333333333333,62.44444444444444,False
15956,5211,54,5,52,1,2,2,2,68,8,0,0,1,1,0,1,1,0,0,0,0,0,44.756366666666665,0,16,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,196.2,66.33653846153847,68.42115384615384,False
