50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,duels_lost,index,period,minute,second,possession,duration,total_running_distance,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,y_true,y_pred,prob_class_1
0,0,14,2,0,15,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,25.506716666666662,0,155649,112,4106,1768,7013,52.257558,105.18962380960176,4,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.4940084395128978
0,0,29,4,1,28,0,2,6,2,3,0,1,0,0,0,1,1,0,0,0,26,0,0,42,0,2,1,43.96973333333334,0,244145,201,5002,4000,9623,116.213083,217.0338155952008,4,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1,0,0.34749212517835226
0,1,28,1,0,21,0,1,3,1,1,0,0,2,0,1,0,3,0,0,0,13,0,0,19,0,2,1,46.5725,0,181410,142,3884,2425,8558,63.530857004000005,144.8734459295114,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,0,0.404534257671841
0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,1,1,0,0,0,1,10.3289,0,4369,18,104,399,172,10.279056,53.223566918014896,4,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1,0,0.3391329578266759
0,0,42,5,0,25,0,1,2,0,7,0,2,2,0,0,2,2,0,0,0,24,0,0,31,0,2,0,48.05043333333333,0,279726,212,6216,3994,13418,100.82283,111.80571243180088,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.39946227969332093
