mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.43885278701782227,0.01397546854544953,0.03398029009501139,0.001632388413397567,True,5,1,2,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8968188976377953,0.8960330053951127,0.8464104702636812,0.8797541244321964,0.023579706834994538,18
0.858277956644694,0.013050433253767129,0.04512127240498861,0.005550927618627257,True,5,1,2,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8968188976377953,0.8960330053951127,0.8464104702636812,0.8797541244321964,0.023579706834994538,18
0.4028836091359456,0.026211669028666024,0.02958083152770996,0.0034985976324586284,True,5,1,5,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9047379032258065,0.8960330053951127,0.8464104702636812,0.8823937929615334,0.025691028860207615,17
0.6628239154815674,0.012494078897970317,0.05443406105041504,0.008486468898923228,True,5,1,5,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8887767969735183,0.8878718535469108,0.8464104702636812,0.8743530402613701,0.019761834331325747,23
0.3784826596577962,0.037473086373615634,0.03008572260538737,0.002680314810377789,True,5,2,2,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8967668746454907,0.8878718535469108,0.8464104702636812,0.8770163994853609,0.02194420998392506,21
0.7850139935811361,0.00867144723373336,0.05316988627115885,0.0038390626083100892,True,5,2,2,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8887767969735183,0.8960330053951127,0.8464104702636812,0.8770734242107707,0.021883413791201217,20
0.3880464235941569,0.007957955943913877,0.02554011344909668,0.002437007282570854,True,5,2,5,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8728877679697351,0.8878718535469108,0.8464104702636812,0.8690566972601091,0.017141944717103196,24
0.8825634320576986,0.12010056027010972,0.09583465258280437,0.03822797144552572,True,5,2,5,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8808848553601816,0.8960330053951127,0.8464104702636812,0.8744427770063252,0.020764140215853807,22
0.5660843849182129,0.0767094896044804,0.05630350112915039,0.030925447945912166,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9126488939307997,0.9122507122507122,0.8960330053951127,0.9069775371922081,0.0077406597201967985,3
1.253458023071289,0.11361762221137126,0.050278266270955406,0.011806758466951133,True,10,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9206149193548387,0.9041582150101419,0.8878718535469108,0.9042149959706305,0.01336736093833735,7
0.5762816270192465,0.17850276734374262,0.05630064010620117,0.03864091475134879,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.912560721721027,0.9122507122507122,0.8878718535469108,0.9042277625062166,0.011566066599662644,6
1.179479678471883,0.01726266751486834,0.08194470405578613,0.03850978776862744,True,10,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9205548549810845,0.9041582150101419,0.8878718535469108,0.9041949745127124,0.013342804780912737,8
0.4995480378468831,0.09748006504263604,0.03789854049682617,0.012074866416860328,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8886363636363637,0.9041582150101419,0.8878718535469108,0.8935554773978055,0.007503761393517239,15
0.882072925567627,0.0559857597044179,0.05230609575907389,0.002623490720822866,True,10,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9045454545454545,0.9122507122507122,0.8878718535469108,0.9015560067810258,0.010174634682292504,10
0.42951345443725586,0.009494748772195919,0.03197868665059408,0.0021631840384315295,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8966626711248502,0.9041582150101419,0.9122507122507122,0.9043571994619014,0.006365346423901984,5
0.9075244267781576,0.0023679829163181583,0.05774482091267904,0.0162767862882101,True,10,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8965059708093763,0.9041582150101419,0.8878718535469108,0.8961786797888097,0.006652905730424004,13
0.4373308022816976,0.07650344948867781,0.059335947036743164,0.023520314714208044,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9205548549810845,0.9122507122507122,0.8960330053951127,0.909612857542303,0.010183286466109177,2
