mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.34529781341552734,0.008441871216836927,0.02595671017964681,0.0011523849878398754,True,5,1,2,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.7686653137207031,0.027987036163299287,0.04964184761047363,0.0018864969569160298,True,5,1,2,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.4106438159942627,0.024662081142323596,0.03097836176554362,0.0008212170130851138,True,5,1,5,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.7223749955495199,0.004511328664314625,0.04198805491129557,0.003529383222998776,True,5,1,5,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.3586084047953288,0.016646521438222706,0.025133291880289715,0.0005617471389149407,True,5,2,2,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.7361425558725992,0.018900347823328185,0.05228964487711588,0.0016677831652440024,True,5,2,2,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.40440845489501953,0.01435503126833424,0.02998185157775879,0.0008171188962335985,True,5,2,5,100,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9841229838709677,1.0,1.0,0.9947076612903226,0.007484497179897929,16
0.7507577737172445,0.031426824595147604,0.043463548024495445,0.0005937852672487137,True,5,2,5,200,"{'bootstrap': True, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.35515578587849933,0.025936340637209298,0.024916330973307293,0.001258946986596004,True,10,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.7452983061472574,0.059556698274355065,0.07229296366373698,0.009529393730545566,True,10,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.4985347588857015,0.10575988962803587,0.03398029009501139,0.002942411159778155,True,10,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9841229838709677,1.0,1.0,0.9947076612903226,0.007484497179897929,16
0.8111608823140463,0.0378586272431454,0.04204169909159342,0.0011117076027539535,True,10,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.3964986006418864,0.021428572252661916,0.03359611829121908,0.004536747715081155,True,10,2,2,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.9841229838709677,1.0,1.0,0.9947076612903226,0.007484497179897929,16
0.9381871223449707,0.1560010128330698,0.10867993036905925,0.06986853583936119,True,10,2,2,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.9841229838709677,1.0,1.0,0.9947076612903226,0.007484497179897929,16
0.7261276245117188,0.20021913170874006,0.030895233154296875,0.006480563566531452,True,10,2,5,100,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9841229838709677,1.0,1.0,0.9947076612903226,0.007484497179897929,16
1.097398042678833,0.22807079574526698,0.051752328872680664,0.00386193247828397,True,10,2,5,200,"{'bootstrap': True, 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.4846917788187663,0.057757684480992645,0.02855817476908366,0.003520689483979997,True,,1,2,100,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
0.8235769271850586,0.012319205000678254,0.04642526308695475,0.005334361316551704,True,,1,2,200,"{'bootstrap': True, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9920629921259843,1.0,1.0,0.9973543307086614,0.0037415413933650373,1
