50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,period,minute,second,possession,duration,total_running_distance,true,pred,proba
0,1,11,0,3,11,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,46.643233333333335,93,2676,1989,4285,57.143842001,43.28793317326296,0,1,0.24444444444444446
0,0,29,4,1,28,0,2,6,2,3,0,1,0,0,0,1,1,0,0,0,26,0,0,42,0,2,1,43.96973333333334,201,5002,4000,9623,116.213083,217.0338155952008,1,0,0.02666666666666667
0,0,27,2,0,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,25,0,0,6,0,2,0,19.0593,164,6629,2661,11111,64.31272201,61.97149435211245,0,1,0.1851851851851852
0,0,42,5,0,25,0,1,2,0,7,0,2,2,0,0,2,2,0,0,0,24,0,0,31,0,2,0,48.05043333333333,212,6216,3994,13418,100.82283,111.80571243180088,1,0,0.0
0,0,7,1,0,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,12,0,0,4,0,0,1,22.726366666666667,36,316,1344,697,32.262989,38.52668663095989,0,1,0.9583333333333334
0,0,35,0,0,20,0,2,1,0,3,0,0,1,0,0,3,0,0,0,0,19,0,0,11,0,3,0,42.0664,142,4075,2654,7650,73.684184,84.66021164718566,0,1,0.24444444444444446
0,0,11,1,2,9,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,16,0,0,8,0,0,1,36.77263333333334,75,1699,1403,2789,36.219633,43.02429876605845,0,1,0.9777777777777779
