50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,period,minute,second,possession,duration,total_running_distance,true,pred,proba
0,1,11,0,3,11,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,46.643233333333335,93,2676,1989,4285,57.143842001,43.28793317326296,0,1,0.9364993842364532
0,0,14,2,0,15,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,25.506716666666662,112,4106,1768,7013,52.257558,105.18962380960176,1,0,0.0
0,0,35,8,2,30,0,1,2,0,2,0,0,2,0,0,1,3,0,0,0,24,0,0,14,0,0,1,43.5304,191,5427,3742,11463,115.573211,257.3386325418661,0,1,0.6614583333333334
0,0,42,5,0,25,0,1,2,0,7,0,2,2,0,0,2,2,0,0,0,24,0,0,31,0,2,0,48.05043333333333,212,6216,3994,13418,100.82283,111.80571243180088,1,0,0.0
0,0,7,1,0,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,12,0,0,4,0,0,1,22.726366666666667,36,316,1344,697,32.262989,38.52668663095989,0,1,0.9755608974358975
1,0,27,0,0,25,3,2,0,0,2,0,1,0,0,0,2,0,0,0,0,24,0,0,14,0,0,0,46.513533333333335,202,6450,2584,14038,72.311737006,77.75362054526308,0,1,0.9293154761904763
0,0,25,7,1,26,0,0,0,2,1,0,3,0,0,0,4,0,0,0,0,33,0,0,20,0,1,1,42.32553333333333,184,5027,4285,13389,99.111442,163.3135051225414,0,1,0.8350743573721372
0,0,11,1,2,9,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,16,0,0,8,0,0,1,36.77263333333334,75,1699,1403,2789,36.219633,43.02429876605845,0,1,0.4689632337923686
