50/50,Bad Behaviour,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Injury Stoppage,Interception,Miscontrol,Offside,Own Goal Against,Own Goal For,Pass,Player Off,Player On,Pressure,Shield,Shot,Substitution,minutes_played,duels_lost,index,period,minute,second,possession,duration,total_running_distance,passes_last_15_minute,position_name_Center Attacking Midfield,position_name_Center Back,position_name_Center Defensive Midfield,position_name_Center Forward,position_name_Center Midfield,position_name_Goalkeeper,position_name_Left Attacking Midfield,position_name_Left Back,position_name_Left Center Back,position_name_Left Center Forward,position_name_Left Center Midfield,position_name_Left Defensive Midfield,position_name_Left Midfield,position_name_Left Wing,position_name_Left Wing Back,position_name_Right Attacking Midfield,position_name_Right Back,position_name_Right Center Back,position_name_Right Center Forward,position_name_Right Center Midfield,position_name_Right Defensive Midfield,position_name_Right Midfield,position_name_Right Wing,position_name_Right Wing Back,true,pred,prob
0,0,42,5,0,25,0,1,2,0,7,0,2,2,0,0,2,2,0,0,0,24,0,0,31,0,2,0,48.05043333333333,0,279726,212,6216,3994,13418,100.82283,111.80571243180088,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,0.2839765614211566
0,0,7,1,0,7,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,12,0,0,4,0,0,1,22.726366666666667,0,13362,36,316,1344,697,32.262989,38.52668663095989,6,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0.3872572949633748
0,0,11,1,2,9,0,0,0,2,3,0,1,0,0,0,2,0,0,0,0,16,0,0,8,0,0,1,36.77263333333334,0,75556,75,1699,1403,2789,36.219633,43.02429876605845,6,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,0.3878508007529781
